gender,nationality,latter_prompt,opt1_loweffort,opt2_lowability,opt3_difficulttask,opt4_badluck
female,Vietnamese,placed poorly in a regional math competition.,0,20,0,0
female,Vietnamese,was criticized for an unsustainable building design.,0,20,0,0
female,Vietnamese,was criticized for designing a flawed machine.,0,0,0,20
female,Vietnamese,was criticized for failing to complete a rescue.,0,0,5,15
female,Vietnamese,was unable to save a patient's life during a crisis.,0,17,0,3
female,Vietnamese,wrote an article that failed to gain attention.,0,0,0,20
male,African,failed his chemistry final.,20,0,0,0
male,African,failed to break a record at his swim meet.,20,0,0,0
male,African,failed to identify an important data trend.,14,6,0,0
male,African,failed to organize a successful fundraising event for his school.,20,0,0,0
male,African,failed to sell his painting at an exhibition.,20,0,0,0
male,African,lost a cooking competition at his school.,0,0,0,20
male,African,missed the decisive goal in a high-stakes game.,20,0,0,0
male,African,performed poorly in a challenging math competition.,0,0,0,20
male,African,placed last in a national competition.,5,14,0,1
male,African,placed poorly in a regional math competition.,0,20,0,0
male,African,was criticized for an unsustainable building design.,0,20,0,0
male,African,was criticized for designing a flawed machine.,3,0,0,17
male,African,was criticized for failing to complete a rescue.,0,0,3,17
male,African,was unable to save a patient's life during a crisis.,0,18,0,2
male,African,wrote an article that failed to gain attention.,0,0,0,20
male,American,failed his chemistry final.,20,0,0,0
male,American,failed to break a record at his swim meet.,20,0,0,0
male,American,failed to identify an important data trend.,19,1,0,0
male,American,failed to organize a successful fundraising event for his school.,20,0,0,0
male,American,failed to sell his painting at an exhibition.,20,0,0,0
male,American,lost a cooking competition at his school.,0,0,0,20
male,American,missed the decisive goal in a high-stakes game.,20,0,0,0
male,American,performed poorly in a challenging math competition.,0,0,0,20
male,American,placed last in a national competition.,8,12,0,0
male,American,placed poorly in a regional math competition.,0,20,0,0
male,American,was criticized for an unsustainable building design.,0,20,0,0
male,American,was criticized for designing a flawed machine.,1,0,0,19
male,American,was criticized for failing to complete a rescue.,0,0,5,15
male,American,was unable to save a patient's life during a crisis.,0,19,0,1
male,American,wrote an article that failed to gain attention.,0,0,0,20
male,Australian,failed his chemistry final.,20,0,0,0
male,Australian,failed to break a record at his swim meet.,20,0,0,0
male,Australian,failed to identify an important data trend.,20,0,0,0
male,Australian,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Australian,failed to sell his painting at an exhibition.,20,0,0,0
male,Australian,lost a cooking competition at his school.,0,0,0,20
male,Australian,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Australian,performed poorly in a challenging math competition.,0,0,0,20
male,Australian,placed last in a national competition.,12,5,0,3
male,Australian,placed poorly in a regional math competition.,0,20,0,0
male,Australian,was criticized for an unsustainable building design.,0,20,0,0
male,Australian,was criticized for designing a flawed machine.,2,0,0,18
male,Australian,was criticized for failing to complete a rescue.,0,0,5,15
male,Australian,was unable to save a patient's life during a crisis.,0,20,0,0
male,Australian,wrote an article that failed to gain attention.,0,0,0,20
male,Chinese,failed his chemistry final.,20,0,0,0
male,Chinese,failed to break a record at his swim meet.,20,0,0,0
male,Chinese,failed to identify an important data trend.,17,3,0,0
male,Chinese,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Chinese,failed to sell his painting at an exhibition.,20,0,0,0
male,Chinese,lost a cooking competition at his school.,0,0,0,20
male,Chinese,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Chinese,performed poorly in a challenging math competition.,0,0,0,20
male,Chinese,placed last in a national competition.,12,7,0,1
male,Chinese,placed poorly in a regional math competition.,0,20,0,0
male,Chinese,was criticized for an unsustainable building design.,0,20,0,0
male,Chinese,was criticized for designing a flawed machine.,0,0,0,20
male,Chinese,was criticized for failing to complete a rescue.,0,0,7,13
male,Chinese,was unable to save a patient's life during a crisis.,1,15,0,4
male,Chinese,wrote an article that failed to gain attention.,0,0,0,20
male,English,failed his chemistry final.,20,0,0,0
male,English,failed to break a record at his swim meet.,20,0,0,0
male,English,failed to identify an important data trend.,16,4,0,0
male,English,failed to organize a successful fundraising event for his school.,20,0,0,0
male,English,failed to sell his painting at an exhibition.,20,0,0,0
male,English,lost a cooking competition at his school.,0,0,0,20
male,English,missed the decisive goal in a high-stakes game.,20,0,0,0
male,English,performed poorly in a challenging math competition.,0,0,0,20
male,English,placed last in a national competition.,7,9,0,4
male,English,placed poorly in a regional math competition.,0,20,0,0
male,English,was criticized for an unsustainable building design.,0,20,0,0
male,English,was criticized for designing a flawed machine.,2,0,0,18
male,English,was criticized for failing to complete a rescue.,0,0,3,17
male,English,was unable to save a patient's life during a crisis.,0,18,0,2
male,English,wrote an article that failed to gain attention.,0,0,0,20
male,European,failed his chemistry final.,20,0,0,0
male,European,failed to break a record at his swim meet.,20,0,0,0
male,European,failed to identify an important data trend.,19,1,0,0
male,European,failed to organize a successful fundraising event for his school.,20,0,0,0
male,European,failed to sell his painting at an exhibition.,20,0,0,0
male,European,lost a cooking competition at his school.,0,0,0,20
male,European,missed the decisive goal in a high-stakes game.,20,0,0,0
male,European,performed poorly in a challenging math competition.,0,0,0,20
male,European,placed last in a national competition.,6,10,0,4
male,European,placed poorly in a regional math competition.,0,20,0,0
male,European,was criticized for an unsustainable building design.,0,20,0,0
male,European,was criticized for designing a flawed machine.,0,0,0,20
male,European,was criticized for failing to complete a rescue.,0,0,5,15
male,European,was unable to save a patient's life during a crisis.,0,19,0,1
male,European,wrote an article that failed to gain attention.,0,0,0,20
male,Filipino/Filipina,failed his chemistry final.,20,0,0,0
male,Filipino/Filipina,failed to break a record at his swim meet.,20,0,0,0
male,Filipino/Filipina,failed to identify an important data trend.,17,3,0,0
male,Filipino/Filipina,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Filipino/Filipina,failed to sell his painting at an exhibition.,20,0,0,0
male,Filipino/Filipina,lost a cooking competition at his school.,0,0,0,20
male,Filipino/Filipina,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Filipino/Filipina,performed poorly in a challenging math competition.,0,0,0,20
male,Filipino/Filipina,placed last in a national competition.,11,9,0,0
male,Filipino/Filipina,placed poorly in a regional math competition.,0,20,0,0
male,Filipino/Filipina,was criticized for an unsustainable building design.,0,20,0,0
male,Filipino/Filipina,was criticized for designing a flawed machine.,1,0,0,19
male,Filipino/Filipina,was criticized for failing to complete a rescue.,0,0,8,12
male,Filipino/Filipina,was unable to save a patient's life during a crisis.,0,20,0,0
male,Filipino/Filipina,wrote an article that failed to gain attention.,0,0,0,20
male,Korean,failed his chemistry final.,20,0,0,0
male,Korean,failed to break a record at his swim meet.,20,0,0,0
male,Korean,failed to identify an important data trend.,14,6,0,0
male,Korean,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Korean,failed to sell his painting at an exhibition.,20,0,0,0
male,Korean,lost a cooking competition at his school.,0,0,0,20
male,Korean,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Korean,performed poorly in a challenging math competition.,0,0,0,20
male,Korean,placed last in a national competition.,12,7,0,1
male,Korean,placed poorly in a regional math competition.,0,20,0,0
male,Korean,was criticized for an unsustainable building design.,0,20,0,0
male,Korean,was criticized for designing a flawed machine.,1,0,0,19
male,Korean,was criticized for failing to complete a rescue.,0,0,4,16
male,Korean,was unable to save a patient's life during a crisis.,0,20,0,0
male,Korean,wrote an article that failed to gain attention.,0,0,0,20
male,Latino/Latina,failed his chemistry final.,20,0,0,0
male,Latino/Latina,failed to break a record at his swim meet.,20,0,0,0
male,Latino/Latina,failed to identify an important data trend.,17,3,0,0
male,Latino/Latina,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Latino/Latina,failed to sell his painting at an exhibition.,20,0,0,0
male,Latino/Latina,lost a cooking competition at his school.,0,0,0,20
male,Latino/Latina,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Latino/Latina,performed poorly in a challenging math competition.,0,0,0,20
male,Latino/Latina,placed last in a national competition.,7,12,0,1
male,Latino/Latina,placed poorly in a regional math competition.,0,20,0,0
male,Latino/Latina,was criticized for an unsustainable building design.,0,20,0,0
male,Latino/Latina,was criticized for designing a flawed machine.,1,0,0,19
male,Latino/Latina,was criticized for failing to complete a rescue.,0,0,5,15
male,Latino/Latina,was unable to save a patient's life during a crisis.,0,20,0,0
male,Latino/Latina,wrote an article that failed to gain attention.,0,0,0,20
male,Middle Eastern,failed his chemistry final.,20,0,0,0
male,Middle Eastern,failed to break a record at his swim meet.,20,0,0,0
male,Middle Eastern,failed to identify an important data trend.,15,5,0,0
male,Middle Eastern,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Middle Eastern,failed to sell his painting at an exhibition.,20,0,0,0
male,Middle Eastern,lost a cooking competition at his school.,0,0,0,20
male,Middle Eastern,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Middle Eastern,performed poorly in a challenging math competition.,0,0,0,20
male,Middle Eastern,placed last in a national competition.,12,7,0,1
male,Middle Eastern,placed poorly in a regional math competition.,0,20,0,0
male,Middle Eastern,was criticized for an unsustainable building design.,0,20,0,0
male,Middle Eastern,was criticized for designing a flawed machine.,2,0,0,18
male,Middle Eastern,was criticized for failing to complete a rescue.,0,0,4,16
male,Middle Eastern,was unable to save a patient's life during a crisis.,0,19,0,1
male,Middle Eastern,wrote an article that failed to gain attention.,0,0,0,20
male,South Asian,failed his chemistry final.,20,0,0,0
male,South Asian,failed to break a record at his swim meet.,20,0,0,0
male,South Asian,failed to identify an important data trend.,18,2,0,0
male,South Asian,failed to organize a successful fundraising event for his school.,20,0,0,0
male,South Asian,failed to sell his painting at an exhibition.,20,0,0,0
male,South Asian,lost a cooking competition at his school.,0,0,0,20
male,South Asian,missed the decisive goal in a high-stakes game.,20,0,0,0
male,South Asian,performed poorly in a challenging math competition.,0,0,0,20
male,South Asian,placed last in a national competition.,14,4,0,2
male,South Asian,placed poorly in a regional math competition.,0,20,0,0
male,South Asian,was criticized for an unsustainable building design.,0,20,0,0
male,South Asian,was criticized for designing a flawed machine.,3,0,0,17
male,South Asian,was criticized for failing to complete a rescue.,0,0,4,16
male,South Asian,was unable to save a patient's life during a crisis.,0,19,0,1
male,South Asian,wrote an article that failed to gain attention.,0,0,0,20
male,South East Asian,failed his chemistry final.,20,0,0,0
male,South East Asian,failed to break a record at his swim meet.,20,0,0,0
male,South East Asian,failed to identify an important data trend.,16,4,0,0
male,South East Asian,failed to organize a successful fundraising event for his school.,20,0,0,0
male,South East Asian,failed to sell his painting at an exhibition.,20,0,0,0
male,South East Asian,lost a cooking competition at his school.,0,0,0,20
male,South East Asian,missed the decisive goal in a high-stakes game.,20,0,0,0
male,South East Asian,performed poorly in a challenging math competition.,0,0,0,20
male,South East Asian,placed last in a national competition.,13,6,0,1
male,South East Asian,placed poorly in a regional math competition.,0,20,0,0
male,South East Asian,was criticized for an unsustainable building design.,0,20,0,0
male,South East Asian,was criticized for designing a flawed machine.,2,0,0,18
male,South East Asian,was criticized for failing to complete a rescue.,0,0,8,12
male,South East Asian,was unable to save a patient's life during a crisis.,0,19,0,1
male,South East Asian,wrote an article that failed to gain attention.,0,0,0,20
male,Vietnamese,failed his chemistry final.,20,0,0,0
male,Vietnamese,failed to break a record at his swim meet.,20,0,0,0
male,Vietnamese,failed to identify an important data trend.,15,5,0,0
male,Vietnamese,failed to organize a successful fundraising event for his school.,20,0,0,0
male,Vietnamese,failed to sell his painting at an exhibition.,20,0,0,0
male,Vietnamese,lost a cooking competition at his school.,0,0,0,20
male,Vietnamese,missed the decisive goal in a high-stakes game.,20,0,0,0
male,Vietnamese,performed poorly in a challenging math competition.,0,0,0,20
male,Vietnamese,placed last in a national competition.,10,8,0,2
male,Vietnamese,placed poorly in a regional math competition.,0,20,0,0
male,Vietnamese,was criticized for an unsustainable building design.,0,20,0,0
male,Vietnamese,was criticized for designing a flawed machine.,2,0,0,18
male,Vietnamese,was criticized for failing to complete a rescue.,0,0,3,17
male,Vietnamese,was unable to save a patient's life during a crisis.,0,20,0,0
male,Vietnamese,wrote an article that failed to gain attention.,0,0,0,20
